en,fr
It prompts us to ask the deepest existential questions:,L'astronomie évoque donc aussi les grandes questions « existentielles » :
Who are we?,Où sommes-nous?
Where did we come from?,D'où venons-nous?
Are we alone?,Sommes-nous seuls?
The lure of these universal enigmas was the spark that ignited the passion of many of today’s famous astronomers.,L'attrait exercé par ces énigmes universelles a représenté l'étincelle initiale du parcours de nombreux grands astronomes.
Astronomy also plays a much more practical role that is not nearly as important today as it was in the past.,"L'astronomie possède également une dimension beaucoup plus pratique et « terre à terre », laquelle est moins apparente aujourd'hui."
"Since the time of our earliest ancestors, humans have used the motions of celestial objects to position themselves in space and time.","Depuis toujours, nous observons les mouvements du ciel pour nous repérer dans l'espace et le temps."
Prehistoric humans studied the relationship between the seasons and the length of days to plan their hunting and gathering activities.,"Ainsi, l'homme préhistorique connaît bien la relation existant entre la variation de la durée du jour et le cycle des saisons; il s'en sert pour planifier ses déplacements de chasse et de cueillette."
"It was also by observing the positions of the stars that the first farmers decided when to plant and when to harvest, and early navigators could sail the oceans blue.",C'est aussi en observant la position des étoiles que les premiers agriculteurs décident du moment des grandes étapes de leur travail et que les navigateurs se repèrent sur les mers.
"In the Age of Antiquity, astrometry – the measurement of the positions of stars and planets – was the main occupation of astronomers.","Durant l'Antiquité, l'astrométrie, qui est la mesure de la position des étoiles et des planètes, est la principale occupation des astronomes."
"There was some degree of interest for astronomy from the general public as well, since they believed that the positions of celestial objects influenced events that took place on Earth.","Pour le public, le travail n'est pas sans intérêt : on croit en effet que la position des objets célestes a un impact sur les évènements qui ont cours sur la Terre."
" During the Renaissance, advances in mathematics coupled with the invention of new observational instruments (like the refracting telescope) gave rise to modern astronomy."," Lors de la Renaissance, les progrès en mathématiques réalisés depuis l'Antiquité et l'invention de nouveaux instruments d'observation (comme la lunette astronomique) conduisent à la naissance de l'astronomie moderne."
"From the 19th century onwards, the discovery of the electromagnetic spectrum and the world of the atom spurred on the development of astrophysics, a new discipline in astronomy that is now considered to be the most important.","À partir de la fin du XIXe siècle, la découverte du spectre électromagnétique et du monde de l'atome va aussi mener à l'apparition d'une nouvelle branche de l'astronomie, la plus importante de nos jours : l'astrophysique."
"Today, astronomy covers several disciplines:","Aujourd'hui, l'astronomie comprend plusieurs disciplines dont :"
"◦ Astrometry, which is the precise measurement of the position of stars and planets, and which is greatly facilitated by the use of modern CCD cameras and computers","◦ L'astrométrie, qui se charge de mesurer la position des étoiles et des planètes (et dont la pratique est aujourd'hui facilitée par l'utilisation des caméras CCD et des ordinateurs)"
"◦ Stellar astronomy, which is the study of the origins and evolution of stars","◦ L'astronomie stellaire, qui étudie l'origine, la formation et l'évolution des étoiles"
"◦ Galactic astronomy, which studies the structure and components of galaxies","◦ L'astronomie galactique, qui étudie la structure et les composants des galaxies"
"◦ Astrophysics, which studies the Universe and the physics of its constituents (luminosity, temperature, chemical composition)","◦ L'astrophysique, qui étudie la physique de l'Univers et les propriétés physiques de ses constituants (luminosité, température, composition chimique)"
"◦ Cosmology, which studies the origin and evolution of the Universe as a whole Related to these fields of research are two disciplines that lie more within the domain of geologists and biologists: planetary science, which is the study of asteroids, comets and planets, and astrobiology, which studies the possibility of life in the Universe.","◦ La cosmologie, qui étudie l'origine et l'évolution de l'Univers dans son ensemble À ces domaines de recherche se rattachent deux disciplines qui sont surtout l'apanage des géologues et des biologistes : les sciences des planètes, qui se chargent de l'étude des astéroïdes, des comètes et des planètes, et l'astrobiologie, qui se charge de l'étude des possibilités de vie dans l'Univers."
"Nowadays, professional astronomers have a strong background in astrophysics and their observations are almost always examined in an astrophysical context.","Actuellement, les astronomes professionnels ont tous une formation poussée en astrophysique et leurs observations sont presque toujours étudiées dans un contexte astrophysique."
"The most serious amateurs actively participate in the study of variable stars, the discovery of new asteroids or comets, and other exciting astronomical work.","Les astronomes amateurs jouent également un rôle important en recherche; les plus sérieux participant couramment au suivi d'étoiles variables, à la découverte de nouveaux astéroïdes et de nouvelles comètes, etc."
Video Sequence  John Richard Bond explains what the purpose of astronomy is .,Séquence vidéo  John Richard Bond explique le rôle de l'astronomie.
© 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,© 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
Astronomers © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,Astronomes © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
Astronomers Timeline,Astronomes Ligne de temps
Verbatim A journey into Canadian astronomy,Verbatim L'aventure astronomique canadienne
"Instruments The ancient Egyptians use the transit for the first time about 4,000 years ago.","Instruments Les Égyptiens utilisent le transit pour la première fois, environ 2000 ans avant Jésus-Christ."
Instruments The astrolab and octant are the predecessors of the sextant.,Instruments L'astrolabe et l'octant sont les ancêtres du sextant.
"Observatories For thousands of years, native people use the stars to navigate and to monitor the passage of time.","Observatoires Depuis des milliers d'années, les autochtones observent les étoiles pour se repérer dans l'espace et le temps."
"Stars are also the inspiration for native legends, which are passed down from generation to generation.",Ils s'en inspirent aussi pour créer des légendes fabuleuses transmisent de génération en génération.
"Instruments The Assyrians are likely the first to use lenses to magnify objects, probably around 1,500 BC.",Instruments Les Assyriens sont vraisemblablement les premiers à utliser la lentille pour grossir les objets aux environs de 1500 ans avant Jésus-Christ.
"Evolution of images Flemish painter Jan van Eyck makes the first known drawing of the Moon in his painting entitled ""The crucifixion"".","ÉvolutionImages Le peintre flamand Jan van Eyck réalise le dessin le plus ancien connu de la Lune dans son tableau intitulé ""La crucifixion""."
"Observatories By exploring Newfoundland, John Cabot becomes the first known European to set foot on Canadian soil.","Observatoires En explorant Terre-Neuve, John Cabot est le premier Européen reconnu à fouler le sol canadien."
"Like all explorers of his time, he navigates using the stars.","Comme tous les navigateurs de l'époque, il se dirige grâce aux étoiles."
Evolution of images Leonardo da Vinci draws this sketch of the Moon.,ÉvolutionImages Leonard de Vinci effectue ce croquis de la Lune.
Observatories Jacques Cartier explores the continental interior.,Observatoires Jacques Cartier explore l’intérieur du continent.
He finds the mouth of the Saint-Lawrence during the Perseid meteor shower.,Il trouve l'entrée du fleuve Saint-Laurent au moment de la pluie d'étoiles filantes des Perséides.
Instruments Leonard Digges constructs the first telescope using lenses.,Instruments Léonard Digges réalise en Angleterre le premier assemblage de lentilles en une lunette d'approche.
"Observatories The roots of astronomy take hold in Canada with the arrival of Samuel de Champlain, the first governor of New France.","Observatoires L’astronomie fait ses débuts au Canada avec l'arrivée du premier gouverneur de la Nouvelle-France, Samuel de Champlain."
Evolution of images British astronomer Thomas Harriot uses a refracting telescope to make the first sketch of the Moon many months before Galileo performs the same feat.,ÉvolutionImages Le Britannique Thomas Harriot réalise (plusieurs mois avant Galilée) le premier croquis de la Lune à partir d'une lunette astronomique.
"Instruments In Italy, Galileo publishes ""The Starry Messenger"" and makes revolutionary astronomical observations using a telescope he built himself.","Instruments En Italie, Galilée publie «Le messager des étoiles» et résume les observations astronomiques révolutionnaires qu'il a effectuées avec une lunette astronomique de sa fabrication."
Observatories Jesuits record the first astronomical observations made in Canada.,Observatoires Les Jésuites rapportent les premières observations astronomiques faites à partir du Canada.
Observatories Astronomy becomes an official task assigned to the Engineer-in-Chief and Land Surveyor for the New France colony in Quebec.,Observatoires L’astronomie devient officiellement partie intégrante des tâches de l’Ingénieur de Québec et Arpenteur général de la colonie.
Observatories Jean Bourdon is the first Canadian to own a telescope.,Observatoires Jean Bourdon est le premier Canadien à posséder une lunette astronomique.
"Evolution of images The first known drawing of the Orion nebula, drawn by Giovanni Batista Hodierna.",ÉvolutionImages Premier dessin connu de la nébuleuse d’Orion par Giovanni Batista Hodierna.
1667 : pollution Louis XIV commands all roads in the capital of Paris to be lit at night in order to combat thefts and other crimes.,1667 : pollution Louis XIV impose l’éclairage de toutes les rues de la capitale (Paris) pour lutter contre les vols et les crimes.
Instruments Isaac Newton builds his telescope.,Instruments Isaac Newton fabrique son télescope.
Instruments Rasmus Bartholin publishes the first article on the splitting of light rays by Icelandic spar.,Instruments Rasmus Bartholin publie le premier article sur la double réfraction de la calcite d'Islande.
"Instruments In France, Laurent Cassegrain invents a new type of reflecting telescope.","Instruments En France, Laurent Cassegrain invente un nouveau type de télescope."
Instruments The modern version of the sextant is independently invented by John Hadley in England and Thomas Godfrey in the United States.,Instruments La version moderne du sextant est inventée indépendamment par le Britannique John Hadley et l'Américain Thomas Godfrey.
Observatories Evidence suggests that an astronomical observatory is installed at the College of Quebec.,Observatoires Indices d'installation d'un observatoire astronomique au Collège de Québec.
Observatories An engraving showing the image of sky observers outdoors with an astronomical instrument at the Fortress of Louisbourg in Nova Scotia.,Observatoires Une gravure montre des observateurs utilisant un instrument astronomique à la forteresse de Louisbourg en Nouvelle-Écosse.
It is likely that a temporary observatory existed for a short time in the fortress.,Il est probable qu'un observatoire temporaire y ait existé.
"Observatories The first North American observatory that existed with historical certainty is constructed at Castle Frederick, an estate founded by Joseph DesBarres at Falmouth, Nova Scotia","Observatoires Le premier observatoire en Amérique du Nord dont l’existence est certaine: celui de Castle Frederick, établi par Joseph Desbarres à Falmouth en Nouvelle-Écosse."
Evolution of images Charles Messier makes this drawing of the Orion nebula.,ÉvolutionImages Charles Messier réalise ce dessin de la nébuleuse d’Orion.
Evolution of images The first map of the Moon with longitudes and latitudes.,ÉvolutionImages La première carte lunaire où sont indiquées les longitudes et les latitudes.
"German astronomer Tobias Mayer drew the base map in the 1850's, but the longitudes and latitudes were added in 1775, after his death.","La carte de base fut dessinée dans les années 1850 par l'astronome allemand Tobias Mayer; les longitudes et latitudes sont ajoutées après sa mort, en 1775."
1792 : pollution William Murdoch invents the natural gas lamp and cities in Britain begin to light their streets using natural gas.,1792 : pollution William Murdoch invente la lampe à gaz et les villes de Grande-Bretagne commencent à éclairer leurs rues au gaz.
Instruments French astronomer Dominique François Jean Arago invents the polariscope.,Instruments L’astronome français Dominique François Jean Arago invente le polariscope.
Instruments Joseph Nicéphore Niépce succeeds in making the first photograph on paper.,Instruments La première photo sur papier par Joseph Nicéphore Niépce.
Instruments French inventor Joseph Nicéphore Niépce makes the first permanent photograph using a sheet of polished tin coated with bitumen.,Instruments Le Français Joseph Nicéphore Niépce réussit la première photographie permanente au moyen d'une feuille d'étain enduite de bitume.
Instruments British astronomer John Frederick William Herschel invents the photometer.,Instruments L’astronome britannique John Frederick William Herschel invente le photomètre.
Instruments French optician Noël Marie Paymal Lerebours photographs the Sun for the first time.,Instruments Le Soleil est photographié pour la première fois par l’opticien français Noël Marie Paymal Lerebours.
Evolution of images American physician and chemist John William Draper takes this daguerreotype of the Moon.,ÉvolutionImages Le médecin et chimiste américain John William Draper prend ce daguerréotype de la Lune.
"Observatories Dr. Charles Smallwood establishes an observatory at Saint-Martin on Quebec’s Île Jésus (now ""Laval"").","Observatoires L'observatoire de l'Île Jésus du Dr. Charles Smallwood à Saint-Martin (aujourd’hui Laval), au Québec."
"Observatories Dr. James Toldervy of Fredericton, New Brunswick, creates an observatory in his garden near the Saint John River.",Observatoires L'observatoire du Dr. James Toldervy à Fredericton au Nouveau-Brunswick.
Evolution of images Lord Rosse makes this drawing of the Orion nebula.,ÉvolutionImages Lord Rosse effectue ce croquis de la nébuleuse d’Orion.
Observatories The Quebec City Observatory is established on the Plains of Abraham.,"Observatoires Création de l'observatoire de Québec, sur les Plaines d'Abraham."
Evolution of images American photographer John Adams Whipple takes this daguerreotype of the Moon.,ÉvolutionImages Le photographe américain John Adams Whipple prend ce daguerréotype de la Lune.
Astronomes William Frederick King is born.,Astronomes Naissance de William Frederick King.
"Observatories The Kingston Observatory is established in London, Ontario.",Observatoires Création de l'observatoire de Kingston en Ontario.
Instruments German chemist Robert Wilhelm Bunsen and German physicist Gustav Robert Kirchhoff invent the first spectroscope.,Instruments Invention du spectroscope par le chimiste allemand Robert Wilhelm Bunsen et le physicien allemand Gustav Robert Kirchhoff.
Instruments Scottish physicist James Clerk Maxwell creates the first colour photograph using filters made of coloured glass plates.,Instruments Le physicien écossais James Clerk Maxwell réalise la première photographie en couleurs au moyen de filtres de verre colorés.
"Observatories The King College Observatory is established in Windsor, Nova Scotia.","Observatoires Création de l'observatoire du Collège King, à Windsor en Nouvelle-Écosse."
"Observatories The McGill University Observatory is established in Montreal, Quebec.","Observatoires Création de l'observatoire de l'Université McGill, à Montréal au Québec."
Astronomes John Stanley Plaskett is born.,Astronomes Naissance de John Stanley Plaskett.
Astronomes Clarence Augustus Chant is born.,Astronomes Naissance de Clarence Augustus Chant.
Evolution of images British astronomer and chemist Warren De La Rue takes this photograph of the Moon.,ÉvolutionImages L'astronome et chimiste britannique Warren De La Rue prend cette photographie de la Lune.
De La Rue becomes the first person to print photos.,De La Rue est le premier à parvenir à imprimer des photographies.
"Observatories The Charles Blackman Observatory is established in Montreal, Quebec.","Observatoires Création de l'observatoire de Charles Blackman, à Montréal au Québec."
"Instruments American inventor George Eastman (who would go on to found the Eastman-Kodak company in 1892) builds a machine for coating photographic plates with emulsion, which allows for the mass production of photographs.",Instruments L'inventeur américain George Eastman (fondateur de la cie Eastman-Kodak) construit une machine enduisant les plaques photos d’émulsion et permettant de les produire en grand nombre.
"Observatories The Woodstock College Observatory is established in Hamilton, Ontario.","Observatoires Création de l'observatoire de Woodstock, à Hamilton en Ontario."
1879 : pollution Edison makes a major improvement on the electric light bulb.,1879 : pollution Amélioration majeure de l’ampoule électrique par Edison.
Instruments British chemist William de Wiveleslie Abney is the first to take an infrared photograph.,Instruments Le chimiste britannique William de Wiveleslie Abney est le premier à prendre une photographie infrarouge.
"Observatories The Victoria College Observatory is established in Cobourg, Ontario.",Observatoires Création de l'observatoire du collège Victoria de Cobourg en Ontario.
"Observatories The Cliff Street Observatory is established in Ottawa, Ontario.",Observatoires Création de l'observatoire de la rue Cliff à Ottawa en Ontario.
Instruments American physicist Albert Abraham Michelson constructs the first interferometer.,Instruments Invention de l'interféromètre par le physicien américain Albert Abraham Michelson.
"Evolution of images The Paris Observatory takes this photograph of the Moon for its Photographic Atlas of the Moon, a reference book without equal until 1960.","ÉvolutionImages L'Observatoire de Paris prend ce cliché de la Lune pour son Atlas Photographique de la Lune, un livre de référence qui demeura inégalé jusqu'en 1960."
Astronomes Carlyle Smith Beals is born.,Astronomes Naissance de Carlyle Smith Beals.
Evolution of images American optician George Willis Ritchey takes exceptional photos of the Moon.,ÉvolutionImages L'opticien américain George Willis Ritchey réalise des photographies de la Lune d'une qualité exceptionnelle.
"They are so good that 60 years later, Dutch-American astronomer Gerard Peter Kuiper will include three of them in his 1960 Photographic Atlas of Moon.","Elles sont si bonnes que soixante ans plus tard, en 1960, l'astronome américano-danois Gerard Peter Kuiper en inclura trois dans son Atlas Photographique de la Lune."
Astronomes Gerhard Herzberg is born.,Astronomes Naissance de Gerhard Herzberg.
Astronomes Helen Sawyer Hogg is born.,Astronomes Naissance de Helen Sawyer Hogg.
"Observatories The Dominion Observatory is established in Ottawa, Ontario.",Observatoires Création de l’Observatoire Fédéral à Ottawa en Ontario.
Astronomes Andrew McKellar is born.,Astronomes Naissance de Andrew McKellar.
Astronomes Arthur Edwin Covington is born.,Astronomes Naissance de Arthur Edwin Covington.
"Observatories The Dominion Astrophysical Observatory is established at Saanich near Victoria, British Columbia.","Observatoires Création de l’Observatoire Fédéral d’Astrophysique à Saanich, près de Victoria en Colombie-Britannique."
Evolution of images American astronomer Francis Gladheim Pease takes the first photos of the Moon that reveal details invisible to the naked eye.,ÉvolutionImages L'astronome américain Francis Gladheim Pease est le premier à réaliser des photographies de la Lune montrant des détails jusqu'alors invisibles à l'oeil nu.
Astronomes Anne Barbara Underhill is born.,Astronomes Naissance de Anne Barbara Underhill.
Astronomes Sidney van den Bergh is born.,Astronomes Naissance de Sidney van den Bergh.
Astronomes,Astronomes Naissance de Hubert Reeves
"Observatories Establishment of the David Dunlap Observatory at Richmond Hill near Toronto, Ontario.","Observatoires Création de l’Observatoire David Dunlap à Richmond Hill, près de Toronto en Ontario."
Astronomes René Racine is born.,Astronomes Naissance de René Racine.
Astronomes John Barrie Hutchings is born.,Astronomes Naissance de John Barrie Hutchings.
Astronomes Jack Newton is born.,Astronomes Naissance de Jack Newton.
Astronomes Charles Thomas Bolton is born.,Astronomes Naissance de Charles Thomas Bolton.
Astronomes Jean-René Roy is born.,Astronomes Naissance de Jean-René Roy.
Astronomes Damien Lemay is born.,Astronomes Naissance de Damien Lemay.
Astronomes Paul Boltwood is born.,Astronomes Naissance de Paul Boltwood.
Astronomes Peter Gordon Martin is born.,Astronomes Naissance de Peter Gordon Martin.
Astronomes Gilles Fontaine is born.,Astronomes Naissance de Gilles Fontaine.
Astronomes David Howard Levy is born.,Astronomes Naissance de David Howard Levy.
Astronomes John Richard Bond is born.,Astronomes Naissance de John Richard Bond.
Astronomes Scott Duncan Tremaine is born.,Astronomes Naissance de Scott Duncan Tremaine.
Instruments Study of atmospheric turbulence using adaptive optics.,Instruments Étude des turbulences grâce à l'optique adaptative.
Replace by: 1953:,Remplacer par: 1953:
"American astronomer Horace Welcome Babcock invents adaptive optics, a procedure that corrects image distortions caused by terrestrial atmospheric turbulence.","L’astronome américain Horace Welcome Babcock invente l’optique adaptative, un procédé qui corrige les distorsions d’image dues à l’atmosphère terrestre."
Evolution of images Gerard Peter Kuiper publishes the last great photographic lunar atlas using images recorded from Earth.,ÉvolutionImages Gerard Peter Kuiper publie le dernier grand atlas de la Lune réalisé à partir de clichés pris depuis la Terre.
Astronomes Jaymie Mark Matthews is born.,Astronomes Naissance de Jaymie Mark Matthews.
Evolution of images The Orion nebula seen through the 1.2-metre Oschin Telescope at Mount Palomar.,"ÉvolutionImages La nébuleuse d’Orion telle que vue par le télescope Oschin de 1,2m du Mont Palomar."
Observatories The Algonquin Radio Observatory is established at Traverse Lake in Ontario.,Observatoires Création de l’Observatoire Algonquin de Radioastronomie au Lac Traverse en Ontario.
"Observatories The Dominion Radio Astrophysical Observatory is established at White Lake near Penticton, British Columbia.","Observatoires Création de l’Observatoire Fédéral de Radioastrophysique à White Lake, près de Penticton en Colombie-Britannique."
Evolution of images The first photograph of the Moon is taken by the American space probe Ranger VII.,"ÉvolutionImages La première photographie de la Lune prise par une sonde spatiale américaine, Ranger VII."
Evolution of images Astronauts of the Apollo 11 mission take the first photos from the Moon.,ÉvolutionImages Les astronautes de la mission américaine Apollo 11 réalisent les premières photographies prises depuis la Lune.
Instruments Americans Willard Boyle and George Smith design the basic structure of a CCD.,Instruments Les Américains Willard Boyle et George Smith dessinent la structure de base d’un CCD.
"Observatories The Rothney Astrophysical Observatory is established at Priddis, southwest of Calgary, Alberta.","Observatoires Création de l’Observatoire d’Astrophysique Rothney à Priddis, au sud de Calgary en Alberta."
"Evolution of images Orion, as seen through the telescope at the Kitt Peak National Observatory.",ÉvolutionImages Orion telle que vue par le télescope du Kitt Peak National Observatory.
Evolution of images The first astronomical image taken by a CCD camera is this photo of the Moon.,ÉvolutionImages La première image astronomique prise par une caméra CCD est cette photographie de la Lune.
"Observatories The Mont-Mégantic Observatory is established at Notre-Dame-des-Bois, Quebec.","Observatoires Création de l’Observatoire du Mont-Mégantic, à Notre-Dame-des-Bois au Québec."
Pollution The natural brightness of the sky has doubled at Mont-Mégantic.,Pollution La luminosité naturelle du ciel a doublé au Mont-Mégantic.
Observatories The Canada-France-Hawaii Observatory is established atop Mauna Kea volcano in Hawaii.,"Observatoires Création de l’Observatoire Canada-France-Hawaï, au sommet du Mauna Kea sur la Grande Île d'Hawaï."
Observatories The James-Clerk-Maxwell Observatory is established near the summit of Mauna Kea volcano in Hawaii.,"Observatoires Création de l’Observatoire James-Clerk-Maxwell, au sommet du Mauna Kea sur la Grande Île d'Hawaï."
"1992 : pollution UNESCO dedicates a special section to the conservation of the sky and its purity in its ""Declaration of the rights for future generations"".",1992 : pollution L'UNESCO consacre un volet spécifique au droit et à la conservation du ciel et de sa pureté dans la « Déclaration des droits pour les générations futures» .
"Observatories The University of British-Columbia Liquid-Mirror Observatory is built at Maple Ridge near Vancouver, British Columbia.","Observatoires Création de l’Observatoire à Miroir Liquide de l’Université de la Colombie-Britannique à Maple Ridge, près de Vancouver."
Observatories The Gemini North and South observatories are established in Hawaii and Chile.,"Observatoires Création des Observatoires Gemini Nord et Sud, à Hawaï et au Chili."
"Observatories Launch of the FUSE Space Telescope by Canada, the United States, and France.","Observatoires Lancement du Télescope Spatial FUSE par le Canada, les États-Unis et la France."
Observatories Ontario's Sudbury Neutrino Observatory is established.,"Observatoires Création de l’Observatoire de Neutrinos de Sudbury, en Ontario."
"Observatories Establishment of the Cosmic Background Imager by Canada, the United-States and Chile.","Observatoires Création de l’Observatoire de l’Imageur du Bruit de Fond Cosmologique par le Canada, les États-Unis et le Chili."
"Observatories The Odin Space Observatory is launched by Sweden, Canada, Finland and France.","Observatoires Lancement de l’Observatoire Spatial Odin par la Suède, le Canada, la Finlande et la France."
Evolution of images The Orion nebula as seen through the Canada-France-Hawaii Telescope.,ÉvolutionImages Nébuleuse d’Orion vie du téléscope Canada-France-Hawaii
Pollution More than 95% of stars are no longer visible from large Canadian cities.,"Pollution Dans les grandes villes canadiennes, plus de 95% des étoiles ne sont plus visibles."
About two thirds of Canadians can no longer see the Milky Way.,Environ 2/3 des Canadiens ne voient plus la Voie lactée.
"Observatories Launch of MOST, the first space telescope to be entirely designed and built in Canada.","Observatoires Lancement de MOST, le premier télescope spatial entièrement canadien."
Evolution of images Image of lunar crater Clavius taken at the Mont-Mégantic Observatory.,ÉvolutionImages Image du cratère lunaire Clavius prise à l'Observatoire du Mont-Mégantic.
Evolution of images The Orion nebula as seen by the Hubble Space Telescope.,ÉvolutionImages La nébuleuse d’Orion par le télescope spatial Hubble.
Astronomes The next generation of Canadian astronomers.,Astronomes La relève canadienne.
"Observatories Planned inauguration of the Atacama Large Millimeter Array by Canada, the United States, Europe, Japan and Chile.","Observatoires Inauguration prévue du vaste Réseau d'Antennes Millimétriques d'Atacama par les États-Unis, le Canada, l'Europe, le Japon et le Chili."
In the future :,Dans le futur :
"Observatories Planed launch of the James Webb Space Telescope by Canada, the United States and Europe.","Observatoires Lancement prévu du Télescope Spatial James Webb, par les États-Unis, le Canada et l'Europe."
Astronomers Observatories The first astronomical observations in Canada The era of explorers and Jesuits,Astronomes Observatoires Les premières observations astronomiques au Canada L'époque des explorateurs et des Jésuites
The first observatories The first astronomical observatory in North America was Canadian,Les premiers observatoires Le premier observatoire astronomique d'Amérique du Nord est canadien
The Dominion Observatory The first government observatory and provider of official time in Canada,L’Observatoire Fédéral Le premier observatoire gouvernemental et fournisseur de l'heure officielle du Canada
"The Dominion Astrophysical Observatory The first Canadian observatory of international calibre, it once housed the largest telescope in the world","L’Observatoire Fédéral d’Astrophysique Premier observatoire canadien d'envergure internationale, il abrita pendant un moment le plus grand télescope au monde"
The David Dunlap Observatory Home to the largest optical telescope in Canada,L’Observatoire David Dunlap L'observatoire abritant le plus grand télescope optique du Canada
The Algonquin Radio Observatory Home to the largest parabolic antenna in Canada,L’Observatoire Algonquin de Radioastronomie L'observatoire où l'on trouve la plus grande antenne parabolique du Canada
The Dominion Radio Astrophysical Observatory The largest radio astronomy observatory in Canada,L’Observatoire Fédéral de Radioastrophysique Le plus important observatoire de radioastronomie du Canada
The Rothney Astrophysical Observatory An example of a successful partnership,L’Observatoire d’Astrophysique Rothney Un bel exemple de partenariat
The Mont-Mégantic Observatory Mont-Mégantic ObservatoryThe largest astronomical observatory in eastern North America,L’Observatoire du Mont-Mégantic Le plus grand observatoire astronomique de l'est de l'Amérique du Nord
The Canada-France-Hawaii Observatory One of the most powerful and productive observatories in the world,L’Observatoire Canada-France-Hawaï Un des observatoires les plus performants et productifs au monde
The James-Clerk-Maxwell Observatory The largest submillimetre radio telescope in the world,L’Observatoire James-Clerk-Maxwell Le plus grand radiotélescope submillimétrique au monde
The University of British-Columbia Liquid-Mirror Observatory Perfecting the next generation of super telescopes,L’Observatoire à Miroir Liquide de l’Université de la Colombie-Britannique Un des endroits où l'on met au point la prochaine génération de télescopes super géants
The Gemini North and South Observatory A pair of giant observatories – one in each hemisphere – to provide full sky coverage,Les Observatoires Gemini Nord et Sud Deux observatoires géants pour observer dans chaque hémisphère terrestre
The FUSE Space Telescope The first example of Canadian participation in an international astronomy satellite program,Le Télescope Spatial FUSE La première participation canadienne à un satellite astronomique international
The Sudbury Neutrino Observatory The only underground Canadian observatory,L’Observatoire de Neutrinos de Sudbury Le seul observatoire canadien situé sous terre
The Cosmic Background Imager An observatory for studying the oldest light ever emitted,L’Observatoire de l'Imageur du Rayonnement de Fond Cosmologique Un observatoire pour observer la plus ancienne lumière jamais émise
The Odin Space Observatory An observatory that specializes in research about water and oxygen,L’Observatoire Spatial Odin Un observatoire spécialisé dans la recherche d'eau et d'oxygène
The MOST Space Telescope The first space telescope entirely of Canadian designed and construction,Le Télescope Spatial MOST Le premier télescope spatial entièrement conçu et construit au Canada
The Atacama Large Millimeter Array What will be the largest submillimetre radio telescope in the world,Le Vaste Réseau d'Antennes Millimétriques d'Atacama Le futur plus grand radiotélescope submillimétrique au monde
The James Webb Space Telescope The successor to the Hubble Space Telescope,Le Télescope Spatial James Webb Le successeur du télescope spatial Hubble
Astronomers « Return to the observatories The first astronomical observations in Canada The era of explorers and Jesuits The history of Canadian astronomy began when the first European explorers used astronomical observations to guide them over the ocean and to navigate our waterways.,Astronomes « Retour aux observatoires Les premières observations astronomiques au Canada L'époque des explorateurs et des Jésuites Les débuts de l'astronomie au Canada commencent avec les explorateurs européens qui effectuent des observations astronomiques pour se repérer sur les océans et se guider vers la Canada.
